origin,destination,distance
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND",581412
"The Breakers, Ochre Point Avenue, Newport, RI","Vicksburg National Military Park, Clay Street, Vicksburg, MS",2284060
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","The Mark Twain House & Museum, Farmington Avenue, Hartford, CT",2170327
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Yellowstone National Park, WY 82190",3684032
"Congress Hall, Congress Place, Cape May, NJ 08204","Fort Snelling, Tower Avenue, Saint Paul, MN",2033385
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Lost World Caverns, Lewisburg, WV",508306
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",2701523
"Lost World Caverns, Lewisburg, WV","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",4297208
"White House, Pennsylvania Avenue Northwest, Washington, DC","New Castle Historic District, Delaware",145742
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Pikes Peak, Colorado",1931715
"San Andreas Fault, San Benito County, CA","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",3619999
"Pikes Peak, Colorado","Gateway Arch, Washington Avenue, St Louis, MO",1390792
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Gateway Arch, Washington Avenue, St Louis, MO",1734279
"Cape Canaveral, FL","Statue of Liberty, Liberty Island, NYC, NY",1759380
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","USS Constitution, Boston, MA",167183
"New Castle Historic District, Delaware","Grand Canyon National Park, Arizona",3741677
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",310125
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","White House, Pennsylvania Avenue Northwest, Washington, DC",2202900
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Taliesin, County Road C, Spring Green, Wisconsin",770373
"Graceland, Elvis Presley Boulevard, Memphis, TN","Gateway Arch, Washington Avenue, St Louis, MO",469145
"Taliesin, County Road C, Spring Green, Wisconsin","Statue of Liberty, Liberty Island, NYC, NY",1570383
