origin,destination,distance
"Toltec Mounds, Scott, AR","Congress Hall, Congress Place, Cape May, NJ 08204",1929321
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086",1523445
"White House, Pennsylvania Avenue Northwest, Washington, DC","Olympia Entertainment, Woodward Avenue, Detroit, MI",847800
"The Breakers, Ochre Point Avenue, Newport, RI","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1569250
"Toltec Mounds, Scott, AR","Carlsbad Caverns National Park, Carlsbad, NM",1327080
"San Andreas Fault, San Benito County, CA","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",212841
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",2885548
"Taliesin, County Road C, Spring Green, Wisconsin","Olympia Entertainment, Woodward Avenue, Detroit, MI",755368
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Columbia River Gorge National Scenic Area, Oregon",2704802
"USS Alabama, Battleship Parkway, Mobile, AL","Columbia River Gorge National Scenic Area, Oregon",4091687
"Olympia Entertainment, Woodward Avenue, Detroit, MI","Grand Canyon National Park, Arizona",3086485
"Graceland, Elvis Presley Boulevard, Memphis, TN","White House, Pennsylvania Avenue Northwest, Washington, DC",1414096
"Wright Brothers National Memorial Visitor Center, Manteo, NC","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1293271
"West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN","Grand Canyon National Park, Arizona",2684847
"Mount Vernon, Fairfax County, Virginia","Gateway Arch, Washington Avenue, St Louis, MO",1336076
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Olympia Entertainment, Woodward Avenue, Detroit, MI",1957406
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Grand Canyon National Park, Arizona",1903087
"Toltec Mounds, Scott, AR","Pikes Peak, Colorado",1600474
"Cape Canaveral, FL","Columbia River Gorge National Scenic Area, Oregon",4807400
"Carlsbad Caverns National Park, Carlsbad, NM","Wright Brothers National Memorial Visitor Center, Manteo, NC",3016475
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Ashfall Fossil Bed, Royal, NE",614858
"Graceland, Elvis Presley Boulevard, Memphis, TN","Shelburne Farms, Harbor Road, Shelburne, VT",2060445
"Terrace Hill, Grand Avenue, Des Moines, IA","Glacier National Park, West Glacier, MT",2098158
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","USS Constitution, Boston, MA",1396766
"White House, Pennsylvania Avenue Northwest, Washington, DC","Glacier National Park, West Glacier, MT",3562723
"USS Alabama, Battleship Parkway, Mobile, AL","Toltec Mounds, Scott, AR",703118
"USS Constitution, Boston, MA","Glacier National Park, West Glacier, MT",4021094
"Cape Canaveral, FL","The Alamo, Alamo Plaza, San Antonio, TX",1949042
"Taliesin, County Road C, Spring Green, Wisconsin","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",754858
"Hoover Dam, NV","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",938239
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Taliesin, County Road C, Spring Green, Wisconsin",1730362
"Hanford Site, Benton County, WA","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",1214774
"Shelburne Farms, Harbor Road, Shelburne, VT","Vicksburg National Military Park, Clay Street, Vicksburg, MS",2421559
"Hoover Dam, NV","Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086",1831327
"Taliesin, County Road C, Spring Green, Wisconsin","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",1972002
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Taliesin, County Road C, Spring Green, Wisconsin",1461512
"Hanford Site, Benton County, WA","Gateway Arch, Washington Avenue, St Louis, MO",3088155
"Shelburne Farms, Harbor Road, Shelburne, VT","Yellowstone National Park, WY 82190",3699278
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Yellowstone National Park, WY 82190",856780
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Cape Canaveral, FL",1947118
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Wright Brothers National Memorial Visitor Center, Manteo, NC",519176
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Carlsbad Caverns National Park, Carlsbad, NM",1589047
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Fort Sumter National Monument, Sullivan's Island, SC",1792618
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Gateway Arch, Washington Avenue, St Louis, MO",448421
"Congress Hall, Congress Place, Cape May, NJ 08204","Acadia National Park, Maine",1028018
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1484285
"Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA","Glacier National Park, West Glacier, MT",3925919
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Olympia Entertainment, Woodward Avenue, Detroit, MI",1065861
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Carlsbad Caverns National Park, Carlsbad, NM",2257948
"Mount Vernon, Fairfax County, Virginia","Terrace Hill, Grand Avenue, Des Moines, IA",1662991
"Maryland State House, 100 State Cir, Annapolis, MD 21401","The Breakers, Ochre Point Avenue, Newport, RI",637090
"Hoover Dam, NV","Liberty Bell, 6th Street, Philadelphia, PA",3970882
"Vicksburg National Military Park, Clay Street, Vicksburg, MS","Olympia Entertainment, Woodward Avenue, Detroit, MI",1582788
"Maryland State House, 100 State Cir, Annapolis, MD 21401","The Mark Twain House & Museum, Farmington Avenue, Hartford, CT",533335
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Fort Sumter National Monument, Sullivan's Island, SC",1827656
"USS Alabama, Battleship Parkway, Mobile, AL","Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086",1180006
"Terrace Hill, Grand Avenue, Des Moines, IA","White House, Pennsylvania Avenue Northwest, Washington, DC",1642191
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",2450621
"USS Constitution, Boston, MA","Statue of Liberty, Liberty Island, NYC, NY",349747
"Glacier National Park, West Glacier, MT","Fort Snelling, Tower Avenue, Saint Paul, MN",1798041
"White House, Pennsylvania Avenue Northwest, Washington, DC","USS Constitution, Boston, MA",705972
"The Breakers, Ochre Point Avenue, Newport, RI","Bryce Canyon National Park, Hwy 63, Bryce, UT",4054078
"Lost World Caverns, Lewisburg, WV","Grand Canyon National Park, Arizona",3298120
"Mount Vernon, Fairfax County, Virginia","French Quarter, New Orleans, LA",1744419
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Glacier National Park, West Glacier, MT",2940288
"Hoover Dam, NV","The Breakers, Ochre Point Avenue, Newport, RI",4369087
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Graceland, Elvis Presley Boulevard, Memphis, TN",787287
"Fort Snelling, Tower Avenue, Saint Paul, MN","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",793789
"Carlsbad Caverns National Park, Carlsbad, NM","White House, Pennsylvania Avenue Northwest, Washington, DC",2929429
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Terrace Hill, Grand Avenue, Des Moines, IA",1012008
"Hanford Site, Benton County, WA","French Quarter, New Orleans, LA",3881773
"Columbia River Gorge National Scenic Area, Oregon","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",3113765
"Shelburne Farms, Harbor Road, Shelburne, VT","Wright Brothers National Memorial Visitor Center, Manteo, NC",1170622
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Ashfall Fossil Bed, Royal, NE",548999
"Mount Vernon, Fairfax County, Virginia","Wright Brothers National Memorial Visitor Center, Manteo, NC",441414
"Terrace Hill, Grand Avenue, Des Moines, IA","Hanford Site, Benton County, WA",2621379
"Terrace Hill, Grand Avenue, Des Moines, IA","Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH",940705
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","French Quarter, New Orleans, LA",2681513
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",3174040
"Craters of the Moon National Monument & Preserve, Arco, ID","Cape Canaveral, FL",4128473
"Hanford Site, Benton County, WA","Wright Brothers National Memorial Visitor Center, Manteo, NC",4702943
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Fort Snelling, Tower Avenue, Saint Paul, MN",723916
"Liberty Bell, 6th Street, Philadelphia, PA","San Andreas Fault, San Benito County, CA",4666575
"Congress Hall, Congress Place, Cape May, NJ 08204","Yellowstone National Park, WY 82190",3609552
"Carlsbad Caverns National Park, Carlsbad, NM","Grand Canyon National Park, Arizona",1133513
"USS Alabama, Battleship Parkway, Mobile, AL","Cape Canaveral, FL",880086
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Carlsbad Caverns National Park, Carlsbad, NM",1466457
"Lost World Caverns, Lewisburg, WV","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",665677
"Shelburne Farms, Harbor Road, Shelburne, VT","The Mark Twain House & Museum, Farmington Avenue, Hartford, CT",387386
"Lost World Caverns, Lewisburg, WV","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",951633
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Hoover Dam, NV",3901708
"Vicksburg National Military Park, Clay Street, Vicksburg, MS","The Alamo, Alamo Plaza, San Antonio, TX",931061
"Yellowstone National Park, WY 82190","Columbia River Gorge National Scenic Area, Oregon",1256183
"Shelburne Farms, Harbor Road, Shelburne, VT","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1724831
"Toltec Mounds, Scott, AR","Columbia River Gorge National Scenic Area, Oregon",3399077
"Craters of the Moon National Monument & Preserve, Arco, ID","Glacier National Park, West Glacier, MT",794318
"Hanford Site, Benton County, WA","The Breakers, Ochre Point Avenue, Newport, RI",4674471
"Hoover Dam, NV","Carlsbad Caverns National Park, Carlsbad, NM",1372972
"Terrace Hill, Grand Avenue, Des Moines, IA","The Mark Twain House & Museum, Farmington Avenue, Hartford, CT",1949612
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Columbia River Gorge National Scenic Area, Oregon",1808374
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","The Mark Twain House & Museum, Farmington Avenue, Hartford, CT",2608579
"San Andreas Fault, San Benito County, CA","Grand Canyon National Park, Arizona",1082921
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Vicksburg National Military Park, Clay Street, Vicksburg, MS",2187279
"Carlsbad Caverns National Park, Carlsbad, NM","San Andreas Fault, San Benito County, CA",1947584
"White House, Pennsylvania Avenue Northwest, Washington, DC","Pikes Peak, Colorado",2685136
"Liberty Bell, 6th Street, Philadelphia, PA","Acadia National Park, Maine",924645
"Toltec Mounds, Scott, AR","Hanford Site, Benton County, WA",3358145
"Maryland State House, 100 State Cir, Annapolis, MD 21401","White House, Pennsylvania Avenue Northwest, Washington, DC",51172
"Bryce Canyon National Park, Hwy 63, Bryce, UT","Fort Snelling, Tower Avenue, Saint Paul, MN",2371319
"The Alamo, Alamo Plaza, San Antonio, TX","Olympia Entertainment, Woodward Avenue, Detroit, MI",2353130
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Maryland State House, 100 State Cir, Annapolis, MD 21401",2663590
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Statue of Liberty, Liberty Island, NYC, NY",1341458
"Taliesin, County Road C, Spring Green, Wisconsin","Fort Sumter National Monument, Sullivan's Island, SC",1766175
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","White House, Pennsylvania Avenue Northwest, Washington, DC",933392
"Terrace Hill, Grand Avenue, Des Moines, IA","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",878386
"San Andreas Fault, San Benito County, CA","New Castle Historic District, Delaware",4676829
"The Breakers, Ochre Point Avenue, Newport, RI","Statue of Liberty, Liberty Island, NYC, NY",294397
"Liberty Bell, 6th Street, Philadelphia, PA","Ashfall Fossil Bed, Royal, NE",2196715
"Toltec Mounds, Scott, AR","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1238466
"The Breakers, Ochre Point Avenue, Newport, RI","Columbia River Gorge National Scenic Area, Oregon",4790491
"Mount Vernon, Fairfax County, Virginia","White House, Pennsylvania Avenue Northwest, Washington, DC",23912
"Pikes Peak, Colorado","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",2684344
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND",2875021
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Statue of Liberty, Liberty Island, NYC, NY",1023174
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",259939
"Liberty Bell, 6th Street, Philadelphia, PA","Grand Canyon National Park, Arizona",3731423
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Acadia National Park, Maine",3203271
"Cape Canaveral, FL","White House, Pennsylvania Avenue Northwest, Washington, DC",1394370
"Shelburne Farms, Harbor Road, Shelburne, VT","Craters of the Moon National Monument & Preserve, Arco, ID",3928519
"Taliesin, County Road C, Spring Green, Wisconsin","Lost World Caverns, Lewisburg, WV",1273680
"Hanford Site, Benton County, WA","Olympia Entertainment, Woodward Avenue, Detroit, MI",3573878
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",1290669
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Olympia Entertainment, Woodward Avenue, Detroit, MI",725571
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Fort Snelling, Tower Avenue, Saint Paul, MN",1124962
"French Quarter, New Orleans, LA","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",857117
"Cape Canaveral, FL","USS Constitution, Boston, MA",2102628
"The Breakers, Ochre Point Avenue, Newport, RI","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1768017
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Fort Snelling, Tower Avenue, Saint Paul, MN",2086009
"Taliesin, County Road C, Spring Green, Wisconsin","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1869248
"Pikes Peak, Colorado","Acadia National Park, Maine",3757896
"New Castle Historic District, Delaware","Glacier National Park, West Glacier, MT",3684584
"Graceland, Elvis Presley Boulevard, Memphis, TN","French Quarter, New Orleans, LA",626412
"Hoover Dam, NV","Glacier National Park, West Glacier, MT",1774950
"Statue of Liberty, Liberty Island, NYC, NY","Glacier National Park, West Glacier, MT",3749449
"Hoover Dam, NV","White House, Pennsylvania Avenue Northwest, Washington, DC",3903362
"USS Alabama, Battleship Parkway, Mobile, AL","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1197210
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Liberty Bell, 6th Street, Philadelphia, PA",2302327
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Pikes Peak, Colorado",1833065
"Hanford Site, Benton County, WA","Statue of Liberty, Liberty Island, NYC, NY",4388894
"Shelburne Farms, Harbor Road, Shelburne, VT","Taliesin, County Road C, Spring Green, Wisconsin",1745609
"Liberty Bell, 6th Street, Philadelphia, PA","Pikes Peak, Colorado",2801541
"Terrace Hill, Grand Avenue, Des Moines, IA","The Alamo, Alamo Plaza, San Antonio, TX",1618550
"USS Constitution, Boston, MA","Congress Hall, Congress Place, Cape May, NJ 08204",598411
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Glacier National Park, West Glacier, MT",3870144
"Taliesin, County Road C, Spring Green, Wisconsin","Congress Hall, Congress Place, Cape May, NJ 08204",1655882
"Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108","Grand Canyon National Park, Arizona",1257737
"Congress Hall, Congress Place, Cape May, NJ 08204","The Alamo, Alamo Plaza, San Antonio, TX",2882943
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","French Quarter, New Orleans, LA",1043911
"Carlsbad Caverns National Park, Carlsbad, NM","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",1998091
"Acadia National Park, Maine","Bryce Canyon National Park, Hwy 63, Bryce, UT",4509036
"Maryland State House, 100 State Cir, Annapolis, MD 21401","French Quarter, New Orleans, LA",1805839
"Gateway Arch, Washington Avenue, St Louis, MO","French Quarter, New Orleans, LA",1091490
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Congress Hall, Congress Place, Cape May, NJ 08204",1312237
"Fort Sumter National Monument, Sullivan's Island, SC","Olympia Entertainment, Woodward Avenue, Detroit, MI",1329533
"Graceland, Elvis Presley Boulevard, Memphis, TN","San Andreas Fault, San Benito County, CA",3200531
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Congress Hall, Congress Place, Cape May, NJ 08204",1054409
"White House, Pennsylvania Avenue Northwest, Washington, DC","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",4524629
"Lost World Caverns, Lewisburg, WV","New Castle Historic District, Delaware",572997
"Pikes Peak, Colorado","USS Constitution, Boston, MA",3327699
"Congress Hall, Congress Place, Cape May, NJ 08204","Glacier National Park, West Glacier, MT",3848711
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",391642
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Bryce Canyon National Park, Hwy 63, Bryce, UT",2818397
"USS Alabama, Battleship Parkway, Mobile, AL","Lost World Caverns, Lewisburg, WV",1302307
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Columbia River Gorge National Scenic Area, Oregon",4905203
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Congress Hall, Congress Place, Cape May, NJ 08204",3069351
